R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
124,141.5,Cam Thomas,"SG,SF",BKN,60,32.1,0.462 (9.3/20.2),0.857 (4.3/5.0),1.8,24.7,3.4,1.5,0.5,0.1,1.1,0.04
125,112.7,Jaden McDaniels,"SF,PF",MIN,74,30.8,0.492 (4.6/9.4),0.755 (1.2/1.6),1.4,11.8,4.4,1.7,0.9,1,1.4,0.02
126,146.4,Kyle Anderson,"SF,PF",MIN,69,25.8,0.497 (3.7/7.3),0.694 (1.3/1.8),0.6,9.2,5.6,3.9,1.1,0.8,1.3,0
127,106.1,Tre Jones,PG,SA,69,28.2,0.468 (4.6/9.8),0.832 (2.0/2.4),0.5,11.6,3.6,6.2,1.2,0.1,1.4,-0.05
128,146,Tari Eason,"SF,PF",HOU,78,25.3,0.454 (4.5/9.8),0.753 (1.6/2.2),0.9,11.4,7.4,1.3,1.3,0.7,1.5,-0.1
129,146.3,Gordon Hayward,SF,CHA,58,31.4,0.469 (5.7/12.1),0.805 (2.2/2.7),1.6,15.1,4.3,3.2,1,0.2,1.8,-0.13
130,114,Jordan Clarkson,"PG,SG",UTA,68,31,0.431 (7.0/16.3),0.821 (2.6/3.2),2.6,19.2,3.9,3.5,0.8,0.2,2.4,-0.23
131,144,Jarred Vanderbilt,PF,LAL,76,26.4,0.564 (3.3/5.8),0.675 (1.3/1.9),0.2,8,8.6,2,1.3,0.5,1.2,-0.28
132,,Delon Wright,"PG,SG",WAS,68,24,0.465 (2.4/5.1),0.857 (1.0/1.1),0.8,6.5,3.6,3.5,1.6,0.3,0.8,-0.36
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
133,94.1,Robert Williams III,C,POR,12,20.4,0.709 (3.0/4.2),0.649 (0.6/1.0),0,6.5,6.6,1.8,0.5,1.2,0.7,-0.38
134,118.4,Aaron Gordon,PF,DEN,70,31.3,0.541 (6.2/11.4),0.665 (2.6/3.9),1.1,16,6.3,2.8,0.7,0.7,1.7,-0.4
135,145.3,Paul Reed,"PF,C",PHI,69,20.2,0.568 (3.7/6.6),0.717 (0.9/1.3),0.1,8.4,5.9,1.2,1,1.1,1.2,-0.4
136,140.7,Bogdan Bogdanovic,"SG,SF,PF",ATL,52,26.8,0.438 (5.0/11.3),0.839 (1.3/1.6),2.5,13.8,3.4,2.8,0.9,0.3,1.1,-0.47
137,122.1,Keldon Johnson,"SG,SF",SA,70,32.9,0.464 (7.4/16.0),0.756 (3.4/4.5),2.1,20.4,5.3,2.5,0.8,0.2,1.6,-0.49
138,131.8,Malcolm Brogdon,"PG,SG",POR,51,26.7,0.465 (4.8/10.4),0.866 (2.5/2.8),1.5,13.6,3.8,3.7,0.6,0.3,1.4,-0.51
139,106.1,Spencer Dinwiddie,"PG,SG",BKN,73,30.5,0.429 (5.1/11.9),0.794 (3.1/3.9),1.9,15.1,3.7,5.6,0.7,0.3,1.7,-0.51
140,151.4,Josh Richardson,SG,MIA,65,27.5,0.435 (4.2/9.7),0.869 (1.5/1.7),1.9,11.7,3.2,2.6,1.1,0.4,1.4,-0.53
141,119.8,Bojan Bogdanovic,"SG,SF",DET,48,27.4,0.471 (5.8/12.3),0.872 (3.3/3.8),2.2,17.1,3.5,1.8,0.5,0.1,1.7,-0.55
142,147.1,Deni Avdija,"SF,PF",WAS,78,28,0.456 (4.5/9.9),0.746 (1.7/2.3),1.1,11.9,6.9,2.9,0.9,0.6,1.6,-0.56
143,138.9,Coby White,"PG,SG",CHI,72,30.2,0.438 (4.8/10.9),0.873 (1.2/1.4),2.3,13.2,3.5,4.1,0.7,0.1,1.3,-0.56
144,146,Kyle Lowry,PG,MIA,60,26.2,0.425 (3.3/7.7),0.858 (1.8/2.1),1.7,10,3.5,5.2,0.9,0.3,1.9,-0.58
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
145,144.2,Caleb Martin,"SG,SF",MIA,70,29.6,0.482 (4.0/8.3),0.782 (1.4/1.8),1.3,10.7,5,1.6,1.1,0.5,1.1,-0.58
146,140.9,Donte DiVincenzo,"SG,SF",NY,70,25.1,0.426 (3.1/7.3),0.830 (1.1/1.4),2,9.3,4.3,3.2,1.3,0.2,1.6,-0.62
147,146.4,Cole Anthony,PG,ORL,64,25,0.439 (4.4/10.1),0.872 (2.6/3.0),1.5,12.9,4.5,4,0.6,0.3,1.8,-0.65
